"Co_Ca","Lith","SGDsd","SGDmean","SGDtot","OFtot","CRtot","R1tot","R2tot","k1","k2","k3","K_r3","S1max","S2max","D3","P","ET_act","ET_pot"
77,1,0.000410728318138978,4.32136737162625,1577.91642883953,482.68242009106,127.856467329248,3158.0669729504,1577.8505080168,114.2660796,40.42319469,8.47584,2.21694973956192e-06,244.9689441,318.62823006,46536.926779024,2987.68622999714,927.153301889281,1021.21135621429
78,1,0.000613089547459708,4.44612118117747,1623.46939129851,640.137027926053,129.74039462022,3338.34870021017,1623.44346917961,91.539,31.921875,8.47584,3.25743897388173e-06,194.4680851,322.5009375,40478.2577733403,3198.89523114929,935.314734043627,1069.45698378571
79,1,0.000595067115168712,3.32128060114666,1212.74188807584,605.913627234267,93.6584817419764,2104.5894435233,1212.69664180245,56.93651471,20.11652941,8.47584,3.38174911712379e-06,270.6382979,338.21838232,48771.1057519397,2867.35746967143,1048.74720063471,1166.49853385714
80,1,0.000166831178000529,4.29443377800444,1568.08181951134,355.482510854637,115.835455348141,3552.28312025666,1568.06572018734,176.2134035,62.86924561,8.47584,8.20496281377045e-07,195.8024691,313.72771927,48398.0594965249,2867.35746967143,943.809238629455,1093.95052614286
81,1,6.84346575374751e-05,3.1775022197411,1160.24223909404,475.804029495594,80.7678201047617,1856.94816385405,1160.30061574991,53.27023501,18.92793517,44.3841594766565,3.48526824966256e-07,378.147714,339.75401943,14575.5659881567,2783.81840977571,1147.71376453021,1219.09690821429
82,100,0.00235194046628494,2.53083261586759,924.115452308221,590.863013161617,74.925832575713,1384.67895143973,924.173034424198,38.93699454,13.94562295,581.491538940763,1.45256367286982e-05,332.9880478,354.12387976,16950.2336037007,2734.99638393429,1219.96033634847,1299.47609857143
83,10,0.000190411102915302,3.31336857528694,1209.85286834763,977.642704777738,81.7628842829247,2029.77773012052,1209.81724279986,37.4379878,13.3845,381.254062324926,1.22429096373644e-06,311.8103448,364.455,1000,3317.30690137357,1129.84695379597,1248.51345635714
84,1,0.00447236115102779,4.39817065453324,1605.96059899814,723.823500241716,138.722870903721,3051.71769601443,1605.98527809212,78.16109302,27.47253488,10.8320056996008,2.31851610033129e-05,214.3333333,335.54581396,32505.8789130567,3317.30690137357,987.498123039736,1131.16065228571
85,1,0.000289590367914277,4.35985985263157,1591.97168333233,627.095091474986,97.5866849260802,2839.37442480496,1591.94690081313,72.14652632,25.43227751,26.1540771115834,1.45453985335275e-06,355.3003534,329.98870814,33302.2417849846,3240.43268576786,1021.39069347975,1041.81762621429
86,1,0.000271665853371336,3.40334640656967,1242.70763074172,576.438578875522,95.5469981970374,2079.82400726926,1242.72420739715,55.73982353,19.68191176,15.6482281639795,1.4776828961626e-06,300.4166667,339.99617645,41157.0024063342,2867.35746967143,1048.19468339876,1131.72895092857
87,1,0.000249220545685202,2.54289725129035,928.520767756875,149.068607200497,77.1464029146684,1753.65891363528,928.481480748446,148.3432118,52.26896471,8.47584,1.5958630897539e-06,331.512605,294.60282355,48774.0671492735,1989.62047322143,912.070385272485,967.643380071429
88,1,0.000194794869996242,2.43119356231902,887.732963612487,203.08793834527,75.5876155870896,1744.52405740778,887.667994573051,122.4207564,43.54033333,38.5849960262072,1.45840865016587e-06,264.0740741,297.14641026,30024.8380596362,2016.04429584429,925.288362925965,1016.59471335714
89,10,0.000193779874291829,2.14638752892422,783.738074847187,218.09268905728,79.1619468137663,1154.43662320858,783.679851374279,66.48751579,31.6753193,182.003663498167,1.62030614191192e-06,254.8635236,326.70694735,5962.91795616862,1997.44708619214,995.674545760584,1257.19706128571
90,10,0.000158420651151351,1.32537337045629,483.950619269468,173.469756599338,67.493164960399,760.877787798841,483.935523447502,68.824125,24.3733125,103.922424410958,1.53536316959049e-06,253.715847,318.50492191,10658.1378660915,1569.85151504214,912.446234995302,1097.49142757143
91,100,1.45098600379564e-05,1.32534973803361,483.941990059128,146.484461844634,73.3334108247471,782.681803034441,483.970625619045,85.72608071,30.43995082,236.582850345026,1.81432405315977e-07,215.2289377,317.38397229,13235.5301114937,1666.94543908,1036.49035161632,1172.75341207143
92,1,1.21330231086203e-05,1.94355945771349,709.676853416527,95.2650042562949,91.0056605560749,1322.07938005427,709.673951058701,177.3705172,62.59963793,8.47584,1.12097220016449e-07,218.5882353,315.11586204,5267.12791115781,1753.52959386714,948.590638552147,981.297831857143
93,1,3.33510208709376e-06,1.84776154197199,674.696928754343,103.583858888513,84.7567935879057,1285.08984867314,674.741114996065,182.350975,65.00115,8.47584,3.39163820797082e-08,187.6363636,313.77675,1000,1753.52959386714,975.204619982565,1071.97913385714
94,1,6.56189938974803e-07,1.85948266472959,678.976813006977,63.2645420227431,107.32086831617,1178.61504175069,678.927305921616,204.7111029,74.59972059,8.47584,5.88826077772713e-09,229.2134831,341.81926471,1000,1753.52959386714,1011.33774592278,1101.47729192857
95,1,2.37217218780064e-06,1.76970949937623,646.196782915091,80.5338791670602,83.7010104022777,1231.63619195624,646.143634400343,209.5118621,75.24034483,8.47584,2.35433654353616e-08,212.1052632,318.54586204,1000,1753.52959386714,1026.85208029974,1134.38531207143
96,1,4.09713494343294e-07,1.56989836399102,573.237174051578,22.8203729252408,103.133601736883,922.517263138606,573.216043973567,229.1107728,83.820416,8.89846035448247,5.24190107077065e-09,285.5862069,342.425664,1000,1541.82837265,945.791955751192,1150.79749992857
97,10,0.00156290003197728,3.82183856874574,1395.51705453059,681.452829599287,88.612568638993,2456.21083454155,1395.48154396571,57.04888496,20.20320354,103.566507206801,1.01295389263643e-05,305.3846154,322.07867258,15170.6211918899,3154.67576435071,1077.74139078571,1077.74139078571
98,10,0.0105085542205989,3.38819843253823,1237.17645622396,622.467972915294,66.7277320583011,2090.92367014795,1237.13176237549,41.64942857,14.4925,268.029594831616,8.29064578873722e-05,368.4210526,328.58,6917.22480680504,3077.71781358786,1218.11807829707,1218.80651778571
99,10,7.78101737393988e-05,3.12908925532089,1142.56459094288,621.438642816327,63.5178009555037,1748.58497455616,1142.58805864277,32.99341837,11.83722449,228.233415689255,5.66811542314732e-07,432.1969697,352.71000002,1478.13819671705,3077.71781358786,1313.69111212876,1318.71841471429
100,10,0.000798062334575123,1.6405311030397,599.02821419564,103.008875805854,65.9342236491022,960.695564840166,599.064941352278,117.2865671,41.48152814,163.884835622072,4.85977956327294e-06,307.9742765,300.63121214,15769.8396039164,1655.64638095229,953.572563794154,974.782687507143
101,10,0.00156769732498617,2.48517822102352,907.445076133729,99.6487573622155,81.9697662607954,1441.74490875984,907.509750024642,149.2245591,52.82509677,256.337072331717,9.23485574734177e-06,386.6141732,290.97795699,19408.184594011,1792.41518546543,785.256678078571,785.256678078571
104,1,0.000362508932566925,3.49868932930564,1277.52141795789,178.993121048741,84.7403399502644,2706.53567416947,1277.5436438334,217.8186387,79.5085871,13.1966822496455,1.61321392773057e-06,253.59447,291.72477418,70760.2411166195,2131.82861333929,675.291848457143,675.291848457143
106,10,0.00625836959889486,2.3993060934708,876.089482130196,156.130943349905,78.6126514342178,1524.5039975146,876.063013820809,161.3529823,62.25058758,220.258881684137,3.65939448045245e-05,340.8899676,298.64529933,47260.6766418959,1896.62075132786,864.426794157143,864.426794157143
107,1,0.001433592828008,3.37732548022415,1233.20627535042,189.758780418018,76.4174551957243,2464.82978405355,1233.1443731427,242.9864234,92.00812409,23.7091874259583,7.38281415838866e-06,231.1261261,295.86240873,90858.1303715522,2101.24437791786,678.341224357143,678.341224357143
108,10,0.00226010223851736,2.24183758995091,818.590982844931,99.257575955247,78.2430745356181,1382.7433857083,818.629770736182,167.6127943,59.02909929,187.633163073677,1.32321460295878e-05,342.4870466,292.42475178,21759.5425032072,1760.84480686286,842.957460171429,842.957460171429
109,100,0.00412228799513425,2.67448646724855,976.569630041043,182.101405404973,79.7784956123756,1869.00140237295,976.533944846456,149.9297857,53.09085714,769.916487254544,2.42586367472257e-05,313.2291667,297.78500003,27481.4161498337,1927.74476255857,769.109412307143,769.109412307143
110,10,0.00221211359609572,3.4561073414008,1261.97290923149,536.048671564085,90.9307664743439,2022.48032385246,1262.01812439328,58.9537234,20.90814894,378.270279080402,1.30770069161666e-05,377.6923077,341.53521276,14919.7563464746,2928.29140697786,1130.22461102049,1140.61762592857
111,10,0.000332944254807215,3.31122988322444,1209.07194021738,768.695685358927,70.0501255332134,2029.98564718192,1209.07695794536,45.54930964,16.18019289,254.48652404201,1.86642759858029e-06,376.1940299,326.58055836,5052.86137095704,3136.43310623286,1158.66046292857,1158.66046292857
112,10,0.00766587038907837,3.19881578898718,1168.02473666446,518.19142860274,75.6577990901746,1872.75731256398,1168.07351742243,53.89083929,19.157625,268.029594831616,4.47601127035094e-05,394.5679012,326.27124999,10073.7951227184,2858.75855610786,1172.49361008269,1173.1715045
113,10,0.00349238255358803,3.41401445002018,1246.60299060737,618.047008679181,79.9853398101105,2106.76245182402,1246.57559256886,55.57212195,19.81313415,268.029594831616,2.28943416800964e-05,351.2727273,323.26682927,12766.6355713719,2928.29140697786,1063.66880572981,1066.04428692857
114,10,0.00101711095434245,3.0660516188875,1119.54684826806,535.217084696962,73.0910287960708,1847.2805529279,1119.5728249287,49.83316667,17.82920833,268.029594831616,6.12228333309786e-06,328.6111111,324.28375,3340.18125636856,2758.07287789429,1103.28296826863,1117.62190114286
115,10,0.00871635238875319,3.33379759528339,1217.31237907776,483.136078593553,70.6539276402111,1931.81297132103,1217.29196537216,51.79862712,18.36994915,268.029594831616,4.84419866963184e-05,421.4814815,326.23084746,11261.4192415835,2758.07287789429,1057.64483392857,1057.64483392857
116,10,0.000577655640811979,3.57544565264438,1305.54844116558,291.174316838341,95.6268862767111,1964.48662761713,1305.6094936519,76.01444,34.35628,72.3996288544136,2.78461999220606e-06,347.5675676,327.0176,6073.21133326284,2741.60659411857,1144.82278362833,1169.40842
117,10,0.00478844139587332,3.1338094089842,1144.28812133766,485.36850442067,81.553919954134,1800.30909970109,1144.28654832908,51.7666087,18.4313913,140.766703342833,2.87614424563169e-05,343.7142857,329.1582609,11741.3223774671,2758.07287789429,1128.41782514454,1141.14304328571
118,10,0.000194211548276921,3.10518867358261,1133.83746423959,428.741550920691,80.4875405887616,1857.32343806896,1133.89007166615,52.05395,18.5595,234.33132589433,1.11479981673942e-06,330.1886792,330.8445,1066.21689670996,2741.60659411857,1178.97497153173,1226.38596828571
119,10,6.91014731229125e-05,3.01330411012606,1100.28647221174,400.129435666971,79.1942535126391,1773.09485128235,1100.2982521057,51.33847059,18.36638235,165.25598224995,3.83412097628362e-07,350,326.17941174,1000,2741.60659411857,1241.1789063459,1292.65549614286
120,1,7.40624005870005e-05,4.03255392252789,1472.45826085447,261.735104199728,99.4635396215755,2700.75488299838,1472.42832033333,136.8354699,49.80745181,8.47584,5.35722226669864e-07,335.2892562,306.02945786,68533.3564140535,2667.46828121571,933.304856682661,934.2448436
122,1,0.00185859390903043,3.28025769212987,1197.76266586914,147.454130359532,109.112323281369,2291.53013089398,1197.82880437268,195.6257273,68.76509091,8.47584,1.20141254855713e-05,286.3636364,304.42045452,93247.3219613669,2169.76473688221,824.48180215,824.48180215
